371,Sideg,12816031,01,0128,012816
372,Suba,12816032,01,0128,012816
373,Sungadan,12816033,01,0128,012816
374,Surgui,12816034,01,0128,012816
375,Veronica,12816035,01,0128,012816
376,Batuli,12817001,01,0128,012817
377,Binsang,12817002,01,0128,012817
378,Nalvo,12817003,01,0128,012817
379,Caruan,12817004,01,0128,012817
380,Carusikis,12817005,01,0128,012817
381,Carusipan,12817006,01,0128,012817
382,Dadaeman,12817007,01,0128,012817
383,Darupidip,12817008,01,0128,012817
384,Davila,12817009,01,0128,012817
385,Dilanis,12817010,01,0128,012817
386,Dilavo,12817011,01,0128,012817
387,Estancia,12817012,01,0128,012817
388,Naglicuan,12817014,01,0128,012817
389,Nagsanga,12817015,01,0128,012817
390,Ngabangab,12817016,01,0128,012817
391,Pangil,12817017,01,0128,012817
392,Poblacion 1,12817018,01,0128,012817
393,Poblacion 2,12817019,01,0128,012817
394,Poblacion 3,12817020,01,0128,012817
395,Poblacion 4,12817021,01,0128,012817
396,Pragata,12817022,01,0128,012817
397,Puyupuyan,12817023,01,0128,012817
398,Sulongan,12817024,01,0128,012817
399,Salpad,12817025,01,0128,012817
400,San Juan,12817026,01,0128,012817
401,Santa Catalina,12817027,01,0128,012817
402,Santa Matilde,12817028,01,0128,012817
403,Sapat,12817029,01,0128,012817
404,Sulbec,12817030,01,0128,012817
405,Surong,12817031,01,0128,012817
406,Susugaen,12817032,01,0128,012817
407,Tabungao,12817033,01,0128,012817
408,Tadao,12817034,01,0128,012817
409,Ab-abut,12818001,01,0128,012818
410,Abucay,12818002,01,0128,012818
411,Anao (Pob.),12818003,01,0128,012818
412,Arua-ay,12818004,01,0128,012818
413,Bimmanga,12818005,01,0128,012818
414,Boyboy,12818006,01,0128,012818
415,Cabaroan (Pob.),12818007,01,0128,012818
416,Calambeg,12818008,01,0128,012818
417,Callusa,12818009,01,0128,012818
418,Dupitac,12818010,01,0128,012818
419,Estancia,12818011,01,0128,012818
420,Gayamat,12818012,01,0128,012818
421,Lagandit,12818013,01,0128,012818
422,Libnaoan,12818014,01,0128,012818
423,Loing (Pob.),12818015,01,0128,012818
424,Maab-abaca,12818016,01,0128,012818
425,Mangitayag,12818017,01,0128,012818
426,Maruaya,12818018,01,0128,012818
427,San Antonio,12818019,01,0128,012818
428,Santa Maria,12818020,01,0128,012818
429,Sucsuquen,12818021,01,0128,012818
430,Tangaoan,12818022,01,0128,012818
431,Tonoton,12818023,01,0128,012818
432,Aglipay,12819001,01,0128,012819
433,Apatut-Lubong,12819002,01,0128,012819
434,Badio,12819003,01,0128,012819
435,Barbar,12819004,01,0128,012819
436,Buanga,12819005,01,0128,012819
437,Bulbulala,12819006,01,0128,012819
438,Bungro,12819007,01,0128,012819
439,Cabaroan,12819008,01,0128,012819
440,Capangdanan,12819009,01,0128,012819
441,Dalayap,12819010,01,0128,012819
442,Darat,12819011,01,0128,012819
443,Gulpeng,12819012,01,0128,012819
444,Liliputen,12819013,01,0128,012819
445,Lumbaan-Bicbica,12819014,01,0128,012819
